Species;Life span;LengthU_MEAN
Accipiter brevipes;15,50;35,00
Accipiter gentilis;22;55,00
Accipiter nisus;20;33,00
Aegypius monachus;32;105,00
Aquila adalberti;56;80,00
Aquila fasciata;20;685,00
Aquila heliaca;26;775,00
Aquila chrysaetos;32;815,00
Aquila nipalenis;43;765,00
Buteo buteo;29;54,00
Buteo lagopus;19;55,00
Buteo rufinus;18;575,00
Circaetus gallicus;17;645,00
Circus aeruginosus;20;52,00
Circus cyaneus;17;48,00
Circus macrourus;13;44,00
Circus pygargus;16;45,00
Clanga clanga;;685,00
Clanga pomarina;7;625,00
Elanus caeruleus;;33,00
Gypaetus barbatus;;1075,00
Gyps fulvus;10;975,00
Haliaeetus albicilla;30;80,00
Hieraaetus pennatus;;49,00
Milvus migrans;24;575,00
Milvus milvus;26;63,00
Neophron percnopterus;17;65,00
Pernis apivorus;29;56,00
Pandion haliaetus;27;565,00
Aix galericulata;10;45,00
Aix sponsa;23;455,00
Alopochen aegyptiaca;26;68,00
Anas acuta;26;585,00
Anas crecca;22;36,00
Anas platyrhynchos;23;575,00
Anser albifrons;25;715,00
Anser anser;23;825,00
Anser brachyrhynchus;41;675,00
Anser erythropus;15;595,00
Anser fabalis;26;75,00
Aythya ferina;23;455,00
Aythya fuligula;45;435,00
Aythya marila;15;465,00
Aythya nyroca;9;40,00
Branta bernicla;29;585,00
Branta canadensis;27;825,00
Branta leucopsis;28;64,00
Bucephala clangula;17;46,00
Bucephala islandica;16;475,00
Clangula hyemalis;23;435,00
Cygnus columbianus;24;121,00
Cygnus cygnus;27;1525,00
Cygnus olor;29;1525,00
Histrionicus histrionicus;7;415,00
Mareca penelope;18;48,00
Mareca strepera;13;51,00
Marmaronetta angustirostris;;405,00
Melanitta fusca;21;545,00
Melanitta nigra;16;49,00
Mergellus albellus;10;41,00
Mergus merganser;15;62,00
Mergus serrator;21;55,00
Netta rufina;9;55,00
Oxyura jamaicensis;14;39,00
Oxyura leucocephala;;455,00
Polysticta stelleri;13;45,00
Somateria mollissima;37;605,00
Somateria spectabilis;6;55,00
Spatula clypeata;20;48,00
Spatula querquedula;15;39,00
Tadorna ferruginea;;64,00
Tadorna tadorna;25;625,00
Apus apus;21;165,00
Apus caffer;10;14,00
Apus pallidus;21;165,00
Apus unicolor;21;145,00
Tachymarptis melba;26;21,00
Caprimulgus europaeus;12;27,00
Caprimulgus ruficollis;13;31,00
Ciconia ciconia;39;1075,00
Ciconia nigra;18;975,00
Columba livia;8;325,00
Columba oenas;13;33,00
Columba palumbus;18;41,00
Columba trocaz;13;39,00
Spilopelia senegalensis;6;26,00
Streptopelia decaocto;18;32,00
Streptopelia turtur;13;27,00
Alcedo atthis;21;165,00
Coracias garrulus;9;31,00
Merops apiaster;6;28,00
Merops persicus;;29,00
Upupa epops;11;27,00
Clamator glandarius;;39,00
Cuculus canorus;13;33,00
Cuculus saturatus;;31,00
Falco biarmicus;11;435,00
Falco columbarius;13;275,00
Falco eleonorae;11;38,00
Falco cherrug;16;50,00
Falco naumanni;11;305,00
Falco peregrinus;17;42,00
Falco rusticolus;13;55,00
Falco subbuteo;14;33,00
Falco tinnunculus;20;335,00
Falco vespertinus;13;30,00
Callipepla californica;10;23,00
Colinus virginianus;6;25,00
Alectoris barbara;;33,00
Alectoris graeca;;335,00
Alectoris chukar;6;33,00
Alectoris rufa;6;33,00
Bonasa bonasia;7;36,00
Coturnix coturnix;15;17,00
Francolinus francolinus;7;345,00
Chrysolophus amherstiae;20;90,00
Chrysolophus pictus;13;875,00
Lagopus lagopus;8;395,00
Lagopus muta;6;35,00
Lyrurus mlokosiewiczi;8;45,00
Lyrurus tetrix;12;475,00
Meleagris gallopavo;3;9925,00
Perdix perdix;5;30,00
Phasianus colchicus;8;71,00
Syrmaticus reevesii;9;725,00
Tetrao urogallus;9;735,00
Tetraogallus caspius;;60,00
Tetraogallus caucasicus;;55,00
Gavia adamsii;30;835,00
Gavia arctica;27;655,00
Gavia immer;8;80,00
Gavia stellata;23;61,00
Anthropoides virgo;67;95,00
Grus grus;20;115,00
Crex crex;12;285,00
Fulica atra;21;37,00
Fulica cristata;6;40,00
Gallinula chloropus;19;335,00
Porphyrio porphyrio;22;475,00
Porzana porzana;7;23,00
Rallus aquaticus;9;255,00
Zapornia parva;6;19,00
Zapornia pusilla;7;18,00
Alca torda;42;38,00
Alle alle;8;18,00
Cepphus grylle;30;31,00
Fratercula arctica;41;275,00
Uria aalge;43;395,00
Uria lomvia;23;41,00
Burhinus oedicnemus;18;42,00
Glareola nordmanni;;25,00
Glareola pratincola;;25,00
Haematopus ostralegus;43;425,00
Eudromias morinellus;12;21,00
Charadrius alexandrinus;19;16,00
Charadrius asiaticus;10;19,00
Charadrius dubius;13;145,00
Charadrius hiaticula;21;19,00
Charadrius leschenaultii;10;235,00
Pluvialis apricaria;13;275,00
Pluvialis squatarola;26;285,00
Vanellus gregarius;;285,00
Vanellus leucurus;;275,00
Vanellus spinosus;17;26,00
Vanellus vanellus;25;295,00
Gelochelidon nilotica;16;365,00
Hydrocoloeus minutus;21;26,00
Hydroprogne caspia;30;505,00
Chlidonias hybrida;;24,00
Chlidonias leucopterus;;215,00
Chlidonias niger;21;23,00
Larus argentatus;35;61,00
Larus armenicus;22;62,00
Larus audouinii;21;50,00
Larus canus;34;43,00
