"","Species","LengthU_MEAN","Clutch_MEAN","Life span","cluster_id"
"1","Accipiter brevipes",35,4,15.5,3
"2","Accipiter gentilis",55,3.5,22,1
"3","Accipiter nisus",33,4.5,20,3
"4","Aegypius monachus",105,1,32,1
"5","Aquila adalberti",80,2.5,56,1
"6","Aquila fasciata",68.5,2,20,1
"7","Aquila heliaca",77.5,2.5,26,1
"8","Aquila chrysaetos",81.5,2,32,1
"9","Aquila nipalenis",76.5,2,43,1
"10","Buteo buteo",54,3,29,1
"11","Buteo lagopus",55,3.5,19,1
"12","Buteo rufinus",57.5,3.5,18,1
"13","Circaetus gallicus",64.5,1,17,1
"14","Circus aeruginosus",52,5.5,20,3
"15","Circus cyaneus",48,5,17,3
"16","Circus macrourus",44,4.5,13,3
"17","Circus pygargus",45,3.8,16,3
"18","Clanga pomarina",62.5,2,7,3
"19","Gyps fulvus",97.5,1,10,1
"20","Haliaeetus albicilla",80,2,30,1
"21","Milvus migrans",57.5,2.5,24,1
"22","Milvus milvus",63,2,26,1
"23","Neophron percnopterus",65,2,17,1
"24","Pernis apivorus",56,2,29,1
"25","Pandion haliaetus",56.5,2.5,27,1
"26","Aix galericulata",45,10.5,10,2
"27","Aix sponsa",45.5,12,23,2
"28","Alopochen aegyptiaca",68,8.5,26,2
"29","Anas acuta",58.5,8,26,2
"30","Anas crecca",36,9.5,22,2
"31","Anas platyrhynchos",57.5,11,23,2
"32","Anser albifrons",71.5,4.4,25,1
"33","Anser anser",82.5,5,23,1
"34","Anser brachyrhynchus",67.5,4,41,1
"35","Anser erythropus",59.5,5,15,3
"36","Anser fabalis",75,5,26,1
"37","Aythya ferina",45.5,9,23,2
"38","Aythya fuligula",43.5,9.5,45,2
"39","Aythya marila",46.5,9.5,15,2
"40","Aythya nyroca",40,9,9,2
"41","Branta bernicla",58.5,4,29,1
"42","Branta canadensis",82.5,5.5,27,1
"43","Branta leucopsis",64,4.5,28,1
"44","Bucephala clangula",46,9.5,17,2
"45","Bucephala islandica",47.5,9.5,16,2
"46","Clangula hyemalis",43.5,7.5,23,2
"47","Cygnus columbianus",121,3.4,24,1
"48","Cygnus cygnus",152.5,4,27,1
"49","Cygnus olor",152.5,5.8,29,1
"50","Histrionicus histrionicus",41.5,6,7,3
"51","Mareca penelope",48,8.5,18,2
"52","Mareca strepera",51,10,13,2
"53","Melanitta fusca",54.5,8,21,2
"54","Melanitta nigra",49,7,16,2
"55","Mergellus albellus",41,8,10,2
"56","Mergus merganser",62,9.5,15,2
"57","Mergus serrator",55,9,21,2
"58","Netta rufina",55,9,9,2
"59","Oxyura jamaicensis",39,8,14,2
"60","Polysticta stelleri",45,7,13,2
"61","Somateria mollissima",60.5,5,37,1
"62","Somateria spectabilis",55,4.5,6,3
"63","Spatula clypeata",48,10,20,2
"64","Spatula querquedula",39,8.5,15,2
